style,image_filename
abstrakte-kunst,bandeirinhas-com-mastros-e-fitas.jpg
abstrakte-kunst,composition-1928.jpg
abstrakte-kunst,hunting-ground-at-dibirdibi-2005.jpg
abstrakte-kunst,in-grey-1919.jpg
abstrakte-kunst,koons-triple-hulk-elvis-ii.jpg
abstrakte-kunst,red-lines.JPG
abstrakte-kunst,unknown-title-1999.jpg
abstrakter-expressionismus,abstract-painting-with-boxes-2-1963.jpg
abstrakter-expressionismus,blue-reflections-1963.jpg
abstrakter-expressionismus,capture-d-e-cran-2020-11-04-a-2-30-17-am.png
abstrakter-expressionismus,figure-with-animals-1961.jpg
abstrakter-expressionismus,global-village-37-48-diptych-1989(1).jpg
abstrakter-expressionismus,nine-discourses-on-commodus-6-1.jpg
abstrakter-expressionismus,rd1076pub.jpg
action-painting,after-the-rain-3-2010.jpg
action-painting,chief-1950.jpg
action-painting,mural-on-indian-red-ground-1950.jpg
action-painting,number-4-1951.jpg
action-painting,opustena.jpg
action-painting,orange-outline-1955.jpg
action-painting,untitled-1951-1.jpg
akademische-kunst,31cca9d9f1772e0f8f6e6763851c6170.jpg
akademische-kunst,albert-maignan-le-r-veil-de-juliette-1.jpg
akademische-kunst,child-braiding-a-crown.jpg
akademische-kunst,display-image-3.jpg
akademische-kunst,edouard-debat-ponsan-1478750.jpg
akademische-kunst,giudizio-corretta-40x20.jpg
akademische-kunst,the-slave-market.jpg
amerikanischer-realismus,felling-the-timber-fd-millet-1909.jpg
amerikanischer-realismus,garage-no-1-1917.jpg
amerikanischer-realismus,la-montera-segovia-girl-in-fiesta-costume-1912.jpg
amerikanischer-realismus,mrs-t-in-cream-silk-no-2-1920.jpg
amerikanischer-realismus,restaurant-overlooking-the-pacific-1990.jpg
amerikanischer-realismus,the-norse-discoverers-fd-millet-1909.jpg
amerikanischer-realismus,young-buck-of-the-tesuque-pueblo-1916.jpg
analytischer-kubismus,bathers-drying-themselves-1909.jpg
analytischer-kubismus,clarinet-1911.jpg
analytischer-kubismus,nagyb-nya.png
analytischer-kubismus,portrait-of-daniel-henry-kahnweiler-1910.jpg
analytischer-kubismus,violin-and-clarinet-on-a-table-1912.jpg
analytischer-kubismus,violin-and-palette-1909.jpg
analytischer-kubismus,woman-with-animals-1914.jpg
analytischer-realismus,a-man-in-the-world-1925.jpg
analytischer-realismus,feast-of-kings-1913.jpg
analytischer-realismus,pedagogics.jpg
analytischer-realismus,selfportrait-1925.jpg
analytischer-realismus,the-head.jpg
analytischer-realismus,two-heads-1925.jpg
analytischer-realismus,yard-keepers-dvorniki-1913.jpg
art-brut,comments.jpg
art-brut,img-20191028-085856-892.jpg
art-brut,img-20191201-103008-743.jpg
art-brut,mr-icarus-i-presume.jpg
art-brut,the-blue-bird.jpg
art-brut,untitled-1962-1.png
art-brut,untitled.jpg
art-brut-rohe-kunst,2001-27-1.jpg
art-brut-rohe-kunst,2016-28-2.jpg
art-brut-rohe-kunst,entr-e-pour-les-demi-2014.jpg
art-brut-rohe-kunst,la-ni-a.jpg
art-brut-rohe-kunst,las-gemelas.jpg
art-brut-rohe-kunst,the-three-doors-1959.jpg
art-brut-rohe-kunst,vuelo-de-mariposa.jpg
art-deco,celestial-virtues.jpg
art-deco,harlequin.jpg
art-deco,nude.jpg
art-deco,portrait-1931.jpg
art-deco,reclining-nude-with-cherry-mantle-1934.jpg
art-deco,the-aces-spades.jpg
art-deco,the-zodiac-scorpio.jpg
art-nouveau-modern,cavalleria-rusticana-turiddu-santuzzo-and-lola-at-the-church-door-by-byam-shaw.jpg
art-nouveau-modern,illustration-for-george-kennan-s-book-siberia-and-the-exile-1906(1).jpg
art-nouveau-modern,madame-rejane-1894.jpg
art-nouveau-modern,soap-factory-of-bagnolet-1897.jpg
art-nouveau-modern,spies-1900.jpg
art-nouveau-modern,the-eyes-of-herod-1894.jpg
art-nouveau-modern,uglich-porch-1904.jpg
automatische-malerei,bones-and-chrysalids.jpg
automatische-malerei,entopic-graphomania-1945-2.jpg
automatische-malerei,fish-drawn-on-the-sand.jpg
automatische-malerei,illustration-for-gellu-naum-s-teribilul-interzis-1945.jpg
automatische-malerei,infra-black-drawing-1963.jpg
automatische-malerei,painting.jpg
automatische-malerei,panic.jpg
barock,deposition-from-the-cross-1634.jpg
barock,frans-francken-ii-the-witches-kitchen.jpg
barock,hendrick-avercamp-022.jpg
barock,jacob-reproaching-laban-1628.jpg
barock,jan-miraeus-4th-bisshop-of-antwerp-1611.jpg
barock,saint-philip.jpg
barock,the-smoker.jpg
biedermeier,1005px-peter-fendi-elisabeth-konopasek-6933-sterreichische-galerie-belvedere.jpg
biedermeier,erzherzoginnen-von-sterreich-litho.jpg
biedermeier,italian-girl-spinning-distaff-13101087.jpg
biedermeier,karl-friedrich-tettenborn.jpg
biedermeier,ladislaus-iii-litho-2.jpg
biedermeier,peter-fendi-frau-mit-t-rkisem-hut-und-schirm-1.jpg
biedermeier,the-pilgrims-resting.jpg
byzantinisch,beth-alfa-synagogue-mosaic-04.JPG
byzantinisch,beth-alfa-synagogue-mosaic-09.JPG
byzantinisch,gregor-von-nyssa.JPG
byzantinisch,mosaici-volta-e-arcone-1.jpg
byzantinisch,st-demetrius-of-thessalonica-1427.jpg
byzantinisch,the-last-judgement-1408.jpg
byzantinisch,the-virgin-holidays-introduction-of-the-virgin-in-temple-holy-family-1907.jpg
cloisonismus,blue-trees-1888.jpg
cloisonismus,caribbean-woman-or-female-nude-with-sunflowers-1889.jpg
cloisonismus,human-misery-1889.jpg
cloisonismus,olden-times-1892.jpg
cloisonismus,tahitian-woman-near-river-1893.jpg
cloisonismus,untitled.jpg
cloisonismus,where-are-you-going-1892.jpg
cyber-art,charlie-simonds-1976.jpg
cyber-art,cover-of-artforum-2020-1.jpg
cyber-art,design-for-an-exterior-mural-detail-1977-2.jpg
cyber-art,din-1969.jpg
cyber-art,din-gf-100-1969.jpg
cyber-art,kabbalah-kabul-sending-emanations-to-the-aliens-2004.jpg
cyber-art,pln-5-1969.jpg
dada,bservatory-time-the-lovers-1936.jpg
dada,construction-all-balls-and-no-mystery.jpg
dada,hat-rack-1917.jpg
dada,macdonald-socialism-from-the-workers-illustrated-news-1930-1.jpg
dada,the-bride-stripped-bare-by-her-bachelors-1923.jpg
dada,the-imaginary-portrait-of-the-marquis-de-sade.jpg
dada,untitled.jpg
dialektische-kunst,archangelic-field-2-1999.jpg
dialektische-kunst,garden-of-signs-1998.jpg
dialektische-kunst,garden-of-signs-2-2000.jpg
dialektische-kunst,garden-of-signs-7-1998.jpg
dialektische-kunst,labyrinth-2-2000.jpg
dialektische-kunst,sign-and-light-a-1999.jpg
dialektische-kunst,the-rain-of-light-1994.jpg
divisionismus,church-in-labastide-2.jpg
divisionismus,impressionist-landscape.jpg
divisionismus,labastide-du-vert-morning-effect.jpg
divisionismus,le-petit-port.jpg
divisionismus,pellizza-da-volpedo-la-processione.png
divisionismus,segantini-k-he-an-der-tr-nke-1888.jpg
divisionismus,young-women-in-tonnelle.jpg
existentialistische-kunst,img-20191219-234815.jpg
existentialistische-kunst,le-grand-homme-de-la-nuit-1955.jpg
existentialistische-kunst,self-portrait-1949.jpg
existentialistische-kunst,shepherd-of-the-landes-1951.jpg
existentialistische-kunst,t-te-d-otage-no-14-head-of-a-hostage-no-14-1944.jpg
existentialistische-kunst,the-bat-1946.jpg
existentialistische-kunst,untitled-1951.jpg
expressionismus,aldeia-russa-1918.jpg
expressionismus,gasometer-in-vorortbahn-1920.jpg
expressionismus,jean-blo-niestl-1921.jpg
expressionismus,nude-with-scarf.jpg
expressionismus,portrait-of-sergei-rostislavovich-ernst-1921.jpg
expressionismus,red-horse-1919.jpg
expressionismus,rouva-kallion-muotokuva-1917.jpg
fantastischer-realismus,gimn-of-poseidon-16.jpg
fantastischer-realismus,secret-armada-1.jpg
fantastischer-realismus,sodom-1996.jpg
fantastischer-realismus,sphinx-i-1977.jpg
fantastischer-realismus,the-mooney-suzuki-alive-amplified-2004.jpg
fantastischer-realismus,the-sorrowful-rosary.jpg
fantastischer-realismus,wheel-of-time.jpg
farbfeldmalerei,composite.jpg
farbfeldmalerei,gothic-jab-1968.jpg
farbfeldmalerei,hommage-to-alfred-jensen-1958.jpg
farbfeldmalerei,honduras-lottery-co-1972.jpg
farbfeldmalerei,inval-1990.jpg
farbfeldmalerei,rd1559pub.jpg
farbfeldmalerei,untitled-no-196-2001.jpg
fauvismus,calanque-du-mugel-la-ciotat-1907.jpg
fauvismus,champs-elysees.jpg
fauvismus,landscape-1904.jpg
fauvismus,landscape-1917-1.jpg
fauvismus,odalisque-1926.jpg
fauvismus,portrait-de-jeune-fille-1907.jpg
fauvismus,still-life-2.jpg
feministische-kunst,deblauwer-05-1.jpg
feministische-kunst,head-first-2006.jpg
feministische-kunst,homage-to-goncharova.jpg
feministische-kunst,lost-mountain-at-sunrise-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005.jpg
feministische-kunst,t12499-10.jpg
feministische-kunst,untitled-memory-is-your-image-of-perfection.jpg
feministische-kunst,woman-child-1972.jpg
figurativer-experessionismus,couple-1998.jpg
figurativer-experessionismus,david-hinnebusch-artwork-at-ben-kitay-studios-hollywood-california-hollyword.jpg
figurativer-experessionismus,dialogue-1991.jpg
figurativer-experessionismus,homless-kid.JPG
figurativer-experessionismus,marlo-and-paul-and-lendog-14x11in-mixed-on-wood.jpg
figurativer-experessionismus,parto-i.JPG
figurativer-experessionismus,the-river-on-a-gray-day-2006.jpg
fruhrenaissance,coronation-of-the-virgin-1493.jpg
fruhrenaissance,ecce-homo-1474.jpg
fruhrenaissance,primavera.jpg
fruhrenaissance,saint-anthony-and-archangel-michael-1456.jpg
fruhrenaissance,san-domenico-annunciation.jpg
fruhrenaissance,st-francis-in-ecstasy.jpg
fruhrenaissance,the-mystical-nativity(1).jpg
futurismus,bretonnes-1913.jpg
futurismus,by-products-plants.jpg
futurismus,composition.jpg
futurismus,design-sketches-mimicry-synoptic-or-spring-1915.jpg
futurismus,dynamism-of-a-human-body.jpg
futurismus,not-detected-276185.jpg
futurismus,the-tower-of-blue-horses-1913.jpg
gewebekunst,bathers-1969-72.jpg
gewebekunst,el-sudari-de-sant-is-210x200-delclaux-2011-1.jpg
gewebekunst,equals-1992.png
gewebekunst,la-musica-red-parkway-2007.jpg
gewebekunst,laberint-clos-210x300-delclaux-2010.JPG
gewebekunst,obsessio-restringida-200x160-delclaux-2011.JPG
gewebekunst,the-albino-1972.jpg
gongbi,emperor-minghuang-s-journey-to-sichuan-detail.jpg
gongbi,five-colored-parakeet-on-a-blossoming-apricot-tree-1119.jpg
gongbi,pavilions-in-the-mountains-of-the-immortals.jpg
gongbi,pigeon-on-a-peach-branch-1108.jpg
gongbi,saying-farewell-at-xunyang-detail.jpg
gongbi,spring-morning-in-the-han-palace-view-d-1530.jpg
gongbi,spring-morning-in-the-han-palace-view-h-1530.jpg
hard-edge-harte-kante,composition-3.jpg
hard-edge-harte-kante,french-painting-1975.jpg
hard-edge-harte-kante,i-have-looked.jpg
hard-edge-harte-kante,luminaria-1990.jpg
hard-edge-harte-kante,pagosa-springs-1960.jpg
hard-edge-harte-kante,paisaje-espejismo-2000.jpg
hard-edge-harte-kante,untitled-1999.jpg
hochrenaissance,4-madonna-and-child-giovanni-bellini.jpg
hochrenaissance,a-plan-of-imola-1502.jpg
hochrenaissance,marriage-of-the-virgin-1491.jpg
hochrenaissance,martyrs-and-saint-virgins-1502.jpg
hochrenaissance,milan-pinacoth-que-bramante-sermon-of-st-mark-in-alexandria.jpg
hochrenaissance,portrait-of-a-young-man.jpg
hochrenaissance,the-holy-family-with-st-john.jpg
hypermanierismus-anachronismus,aestas.jpg
hypermanierismus-anachronismus,composition-i-1989.jpg
hypermanierismus-anachronismus,dionysus-1985.jpg
hypermanierismus-anachronismus,eclipse-2002.jpg
hypermanierismus-anachronismus,testa-gigantesca.jpg
hypermanierismus-anachronismus,the-left-handed-painter-1982.jpg
